T[K],M[A/m]
0,1483071.02040735
10,1472056.02616816
30,1446162.14560323
50,1420651.58971853
70,1394829.39253993
90,1369148.5726972
110,1340179.38095731
130,1311975.99505669
150,1283369.40602345
170,1255548.89121147
190,1230244.51259768
210,1198945.10946401
230,1162310.33926049
250,1125091.51020487
270,1094768.85687192
290,1063088.92222728
310,1023061.16758256
330,991372.256599126
350,951278.301455864
370,903120.124505468
390,863659.168359274
410,805628.19649141
430,727774.992134258
450,659757.463782991
470,537255.146574317
490,256310.497047271
510,30397.103548385
530,17940.2710452982
550,14334.7085988459
570,11086.2940621034
590,9828.34540878805
610,8637.53244846084
630,7987.24651894879
650,7506.23900435244
670,6680.87815732296
690,6460.76836720315
710,6068.8534182925
730,5954.31819222079
750,5578.98469759642
770,5273.4266955491
800,5047.55562381646
