#          E(meV)         D(S(q,E))         Int(D(S))  
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
      0.000000000000          Infinity               NaN
