#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    766 -0.003954 -0.047945 -0.125213        1    5.15521222E-08  4.92048994E-08  1.15666231E-07  1.35858090E-07
    767  0.003954 -0.047945 -0.125213        1    2.44546640E-06  3.60587275E-07  1.09154586E-06  2.70218457E-06
    768  0.011863 -0.047945 -0.125213        1    9.09578821E-07  1.09597866E-06  9.99164500E-09  1.42429024E-06
    769  0.019772 -0.047945 -0.125213        1    7.04800908E-07  1.09803367E-06  4.23387334E-07  1.37174309E-06
    770  0.027681 -0.047945 -0.125213        1    2.82335711E-07  5.86087455E-07  1.41326113E-07  6.65721435E-07
    771  0.035590 -0.047945 -0.125213        1    6.84361781E-07  6.04757610E-07  7.48892980E-07  1.18106880E-06
    772  0.043499 -0.047945 -0.125213        1    7.21169051E-07  3.06806482E-07  2.31714531E-07  8.17255555E-07
    773  0.051408 -0.047945 -0.125213        1    4.13228899E-07  1.03245044E-07  3.55241042E-07  5.54629480E-07
    774  0.059317 -0.047945 -0.125213        1    1.22271567E-07  4.98508247E-07  3.99010778E-07  6.50131071E-07
    775  0.067226 -0.047945 -0.125213        1    4.18079595E-07  4.83972437E-07  1.45520688E-07  6.55893389E-07
    776 -0.118634 -0.041096 -0.125213        1    2.22170749E-08  4.84456528E-07  8.19601978E-07  9.52333517E-07
    777 -0.110725 -0.041096 -0.125213        1    9.97505042E-07  2.04142464E-06  2.11288296E-07  2.28190131E-06
    778 -0.102816 -0.041096 -0.125213        1    3.80998227E-07  4.30233591E-08  4.80308335E-07  6.14578518E-07
    779 -0.094907 -0.041096 -0.125213        1    8.62646753E-07  4.47725248E-08  1.77528782E-07  8.81861932E-07
    780 -0.086998 -0.041096 -0.125213        1    3.09421397E-07  3.15078623E-08  8.88417496E-08  3.23461285E-07
    781 -0.079089 -0.041096 -0.125213        1    4.89750587E-07  1.24702356E-06  3.62908341E-07  1.38802949E-06
    782 -0.071180 -0.041096 -0.125213        1    1.65034685E-07  6.88865930E-08  1.10246465E-07  2.10085918E-07
    783 -0.063271 -0.041096 -0.125213        1    1.12426726E-07  1.86026406E-07  6.59116356E-08  2.27134181E-07
    784 -0.055362 -0.041096 -0.125213        1    1.49935885E-07  5.84246643E-07  1.59394508E-08  6.03389572E-07
    785 -0.047453 -0.041096 -0.125213        1    5.58106594E-08  4.20838555E-08  1.31338856E-07  1.48780965E-07
    786 -0.039545 -0.041096 -0.125213        1    1.17937230E-06  1.96569050E-07  9.46827240E-08  1.19938452E-06
    787 -0.031636 -0.041096 -0.125213        1    2.03084215E-06  6.73066106E-07  5.27220941E-08  2.14012089E-06
    788 -0.023727 -0.041096 -0.125213        1    1.09282832E-06  2.49851083E-07  3.91004996E-08  1.12170769E-06
    789 -0.015818 -0.041096 -0.125213        1    3.95836256E-07  8.78010418E-07  6.49427596E-08  9.65301091E-07
    790 -0.007909 -0.041096 -0.125213        1    2.96806205E-07  3.85602068E-08  1.55170767E-06  1.58030930E-06
    791  0.000000 -0.041096 -0.125213        1    8.86976183E-07  1.09334332E-06  3.55176427E-07  1.45199059E-06
    792  0.007909 -0.041096 -0.125213        1    3.56798680E-07  7.45242887E-07  9.50380615E-10  8.26252480E-07
    793  0.015818 -0.041096 -0.125213        1    1.13275068E-06  5.19409612E-07  1.40869223E-07  1.25409513E-06
    794  0.023727 -0.041096 -0.125213        1    4.62623645E-08  2.97926271E-08  8.86052092E-07  8.87759042E-07
    795  0.031636 -0.041096 -0.125213        1    2.07973324E-08  5.88354304E-07  5.77522848E-07  8.24697494E-07
    796  0.039545 -0.041096 -0.125213        1    2.65329090E-07  5.51274773E-07  2.73093660E-07  6.69987722E-07
    797  0.047453 -0.041096 -0.125213        1    1.76233204E-07  4.83051220E-07  1.08254346E-06  1.19845608E-06
    798  0.055362 -0.041096 -0.125213        1    4.67009020E-08  2.23724506E-08  2.76061965E-07  2.80876680E-07
    799  0.063271 -0.041096 -0.125213        1    1.18636828E-07  1.88253528E-07  2.44811202E-07  3.30827164E-07
    800  0.071180 -0.041096 -0.125213        1    1.46263048E-07  1.01844723E-07  9.93777572E-09  1.78504864E-07
    801 -0.114679 -0.034247 -0.125213        1    3.34003329E-08  4.95314241E-07  1.06814538E-06  1.17787365E-06
    802 -0.106770 -0.034247 -0.125213        1    8.37376191E-08  4.44941431E-07  3.21162098E-07  5.55094550E-07
    803 -0.098861 -0.034247 -0.125213        1    2.20262594E-06  2.46875224E-08  8.88067830E-08  2.20455373E-06
    804 -0.090952 -0.034247 -0.125213        1    8.57409669E-07  1.78335887E-08  3.62279144E-07  9.30975593E-07
    805 -0.083044 -0.034247 -0.125213        1    5.13388051E-07  1.71077952E-06  9.75030298E-07  2.03494913E-06
    806 -0.075135 -0.034247 -0.125213        1    6.03747613E-07  1.10633926E-06  7.61369266E-07  1.47247441E-06
    807 -0.067226 -0.034247 -0.125213        1    1.86978319E-07  3.96880739E-07  7.69842360E-07  8.86077012E-07
    808 -0.059317 -0.034247 -0.125213        1    1.27518565E-06  1.21001559E-06  2.93777546E-08  1.75815222E-06
    809 -0.051408 -0.034247 -0.125213        1    6.01879687E-07  6.37944918E-07  3.74445730E-07  9.53646937E-07
    810 -0.043499 -0.034247 -0.125213        1    7.67200305E-07  9.48256330E-08  2.33932792E-07  8.07658814E-07
    811 -0.035590 -0.034247 -0.125213        1    6.78881208E-07  1.82126399E-06  3.54341645E-07  1.97571258E-06
    812 -0.027681 -0.034247 -0.125213        1    1.64651716E-07  2.53101864E-07  5.58261442E-07  6.34686205E-07
    813 -0.019772 -0.034247 -0.125213        1    9.46623652E-08  7.48162956E-07  1.87996325E-06  2.02557908E-06
    814 -0.011863 -0.034247 -0.125213        1    1.56554230E-06  7.74539369E-07  4.29042080E-07  1.79858585E-06
    815 -0.003954 -0.034247 -0.125213        1    8.17443723E-07  8.22084717E-07  9.49617249E-07  1.49860283E-06
    816  0.003954 -0.034247 -0.125213        1    5.04705708E-07  2.88662179E-08  3.31251676E-08  5.06614634E-07
    817  0.011863 -0.034247 -0.125213        1    9.53250216E-09  5.08426423E-07  4.79983597E-07  6.99265722E-07
    818  0.019772 -0.034247 -0.125213        1    3.11704490E-08  1.21142861E-06  5.53605710E-07  1.33229507E-06
    819  0.027681 -0.034247 -0.125213        1    3.88189784E-07  1.56601564E-06  2.08044081E-07  1.62676938E-06
    820  0.035590 -0.034247 -0.125213        1    2.87107790E-06  3.91351286E-07  1.37630644E-06  3.20787524E-06
    821  0.043499 -0.034247 -0.125213        1    6.19179917E-08  9.49987999E-08  5.46440690E-07  5.58082465E-07
    822  0.051408 -0.034247 -0.125213        1    1.25320823E-07  2.77797685E-07  4.13275597E-07  5.13491559E-07
    823  0.059317 -0.034247 -0.125213        1    6.79592701E-08  2.52847071E-06  4.00148940E-07  2.56084005E-06
    824  0.067226 -0.034247 -0.125213        1    8.35895336E-07  6.35495976E-07  8.38809829E-07  1.34394125E-06
    825  0.075135 -0.034247 -0.125213        1    2.41330713E-07  1.83072813E-07  2.60434496E-07  3.99477527E-07
    826 -0.110725 -0.027397 -0.125213        1    9.13443161E-07  1.46210797E-07  9.06627831E-08  9.29502957E-07
    827 -0.102816 -0.027397 -0.125213        1    6.15418252E-07  1.26469798E-06  4.16469712E-07  1.46684956E-06
    828 -0.094907 -0.027397 -0.125213        1    1.51098850E-07  4.07119573E-06  1.15817478E-07  4.07564464E-06
    829 -0.086998 -0.027397 -0.125213        1    1.12334660E-06  3.86767414E-08  3.69865900E-07  1.18330227E-06
    830 -0.079089 -0.027397 -0.125213        1    5.74479465E-07  3.75897779E-07  1.01453451E-06  1.22499227E-06
    831 -0.071180 -0.027397 -0.125213        1    7.47049818E-07  9.14698940E-07  5.37249500E-07  1.29745698E-06
    832 -0.063271 -0.027397 -0.125213        1    2.32835792E-07  5.01603351E-07  1.48402224E-06  1.58371097E-06
    833 -0.055362 -0.027397 -0.125213        1    1.62108675E-07  2.63802849E-07  5.75032682E-07  6.53095515E-07
    834 -0.047453 -0.027397 -0.125213        1    4.18212227E-07  1.81979178E-07  4.19640959E-07  6.19771266E-07
    835 -0.039545 -0.027397 -0.125213        1    1.27119682E-06  4.38450597E-07  1.28536988E-06  1.86020321E-06
    836 -0.031636 -0.027397 -0.125213        1    1.09471736E-06  3.65408307E-07  6.42370393E-07  1.32082136E-06
    837 -0.023727 -0.027397 -0.125213        1    6.72959708E-07  6.79635615E-08  5.57991537E-07  8.76839991E-07
    838 -0.015818 -0.027397 -0.125213        1    6.97962349E-07  1.62244284E-06  3.07896872E-07  1.79283929E-06
    839 -0.007909 -0.027397 -0.125213        1    6.06042484E-07  1.11347641E-07  1.04149798E-06  1.21012554E-06
    840  0.000000 -0.027397 -0.125213        1    3.99705569E-07  2.67435088E-06  1.07251112E-07  2.70618180E-06
    841  0.007909 -0.027397 -0.125213        1    7.81333003E-07  2.39111245E-08  6.37662176E-08  7.84295311E-07
    842  0.015818 -0.027397 -0.125213        1    1.94021863E-06  4.49998190E-07  1.04828029E-06  2.25074172E-06
    843  0.023727 -0.027397 -0.125213        1    8.14906516E-07  5.67378356E-07  1.88186950E-06  2.12777434E-06
    844  0.031636 -0.027397 -0.125213        1    2.34060322E-07  3.80975980E-07  6.89454708E-07  8.21751012E-07
    845  0.039545 -0.027397 -0.125213        1    5.95894521E-07  2.63712423E-07  2.28096206E-08  6.52038957E-07
    846  0.047453 -0.027397 -0.125213        1    2.50829774E-07  3.57093305E-07  3.23430884E-07  5.43174687E-07
    847  0.055362 -0.027397 -0.125213        1    2.37687405E-08  6.28929925E-07  9.87934558E-07  1.17138059E-06
    848  0.063271 -0.027397 -0.125213        1    1.07358016E-06  3.22916362E-07  1.71669149E-07  1.13416032E-06
    849  0.071180 -0.027397 -0.125213        1    8.89816644E-07  1.27834200E-06  9.62234453E-07  1.83079957E-06
    850  0.079089 -0.027397 -0.125213        1    1.11683303E-07  4.43197604E-07  2.12515091E-07  5.04043590E-07
    851 -0.106770 -0.020548 -0.125213        1    4.92016042E-07  1.38073725E-07  4.16729505E-07  6.59399439E-07
    852 -0.098861 -0.020548 -0.125213        1    4.39295972E-07  2.43919118E-07  9.85795760E-07  1.10646770E-06
    853 -0.090952 -0.020548 -0.125213        1    9.33158562E-08  5.56571886E-07  7.40613359E-07  9.31122044E-07
    854 -0.083044 -0.020548 -0.125213        1    2.22818369E-07  8.65386714E-07  8.86843517E-07  1.25898118E-06
    855 -0.075135 -0.020548 -0.125213        1    1.24988931E-07  4.09834965E-08  8.64523183E-07  8.74472534E-07
    856 -0.067226 -0.020548 -0.125213        1    2.41442822E-07  3.02977693E-07  5.97200851E-07  7.11856007E-07
    857 -0.059317 -0.020548 -0.125213        1    7.02650639E-07  4.83050103E-07  3.22762185E-07  9.11718570E-07
    858 -0.051408 -0.020548 -0.125213        1    1.27091201E-06  8.72774103E-08  1.21324397E-07  1.27966961E-06
    859 -0.043499 -0.020548 -0.125213        1    2.15592812E-08  2.22219315E-06  8.94060023E-07  2.39540196E-06
    860 -0.035590 -0.020548 -0.125213        1    4.36072082E-08  1.54842824E-07  1.17738221E-07  1.99349385E-07
    861 -0.027681 -0.020548 -0.125213        1    1.88982191E-07  1.06771282E-06  6.14448248E-08  1.08604807E-06
    862 -0.019772 -0.020548 -0.125213        1    3.23254742E-08  8.46028322E-07  1.66838747E-07  8.62927590E-07
    863 -0.011863 -0.020548 -0.125213        1    3.43261379E-07  3.06973302E-07  1.08189211E-07  4.73038992E-07
    864 -0.003954 -0.020548 -0.125213        1    8.44454643E-07  3.00983029E-07  6.81054997E-08  8.99073293E-07
    865  0.003954 -0.020548 -0.125213        1    1.66939048E-07  4.28080118E-07  1.73417043E-07  4.91115774E-07
    866  0.011863 -0.020548 -0.125213        1    4.80718054E-07  8.66977569E-07  1.23210603E-06  1.58139977E-06
    867  0.019772 -0.020548 -0.125213        1    5.13002459E-07  3.64349419E-07  1.59431437E-07  6.49107391E-07
    868  0.027681 -0.020548 -0.125213        1    7.16129746E-08  1.84580138E-07  4.16203069E-07  4.60893957E-07
    869  0.035590 -0.020548 -0.125213        1    1.01757356E-06  3.39020482E-07  6.34463513E-08  1.07443765E-06
    870  0.043499 -0.020548 -0.125213        1    2.96909544E-07  1.26983935E-06  8.75535182E-08  1.30702443E-06
    871  0.051408 -0.020548 -0.125213        1    6.66604078E-07  7.14870995E-08  5.16023009E-07  8.46020773E-07
    872  0.059317 -0.020548 -0.125213        1    8.03398162E-07  2.13085144E-07  1.65007087E-07  8.47396733E-07
    873  0.067226 -0.020548 -0.125213        1    8.27091357E-07  1.05554600E-07  9.40682914E-07  1.25702277E-06
    874  0.075135 -0.020548 -0.125213        1    7.48713169E-07  8.73250871E-07  1.60436563E-06  1.97411438E-06
    875  0.083044 -0.020548 -0.125213        1    5.46500646E-07  7.61395019E-07  1.15200906E-07  9.44275691E-07
    876 -0.102816 -0.013699 -0.125213        1    7.84218761E-08  2.59082214E-07  4.82776279E-07  5.53485790E-07
    877 -0.094907 -0.013699 -0.125213        1    7.69898849E-07  7.70481940E-07  3.50003087E-07  1.14406679E-06
    878 -0.086998 -0.013699 -0.125213        1    4.46994904E-07  1.68796550E-06  2.05004010E-07  1.75814067E-06
    879 -0.079089 -0.013699 -0.125213        1    2.69685801E-08  5.63967888E-07  9.88786925E-07  1.13863368E-06
    880 -0.071180 -0.013699 -0.125213        1    6.12904122E-07  5.02465113E-07  8.08821671E-08  7.96658381E-07
    881 -0.063271 -0.013699 -0.125213        1    5.74722312E-08  4.94570567E-07  5.12844974E-08  5.00532919E-07
    882 -0.055362 -0.013699 -0.125213        1    8.48833289E-07  2.62102264E-08  1.11632900E-06  1.40263871E-06
    883 -0.047453 -0.013699 -0.125213        1    1.45002593E-06  7.42006338E-07  4.59247617E-08  1.62949615E-06
    884 -0.039545 -0.013699 -0.125213        1    3.16877055E-07  7.82037664E-08  5.49562642E-07  6.39176028E-07
    885 -0.031636 -0.013699 -0.125213        1    8.68103458E-09  4.85699050E-08  4.00545588E-08  6.35512684E-08
    886 -0.023727 -0.013699 -0.125213        1    5.29782771E-08  6.33289253E-08  1.37672858E-06  1.37920224E-06
    887 -0.015818 -0.013699 -0.125213        1    2.43890859E-07  3.06147741E-08  4.92871680E-07  5.50765385E-07
    888 -0.007909 -0.013699 -0.125213        1    7.05333504E-07  8.20417709E-07  4.91845566E-07  1.18848333E-06
    889  0.000000 -0.013699 -0.125213        1    7.24236392E-08  1.65864071E-07  3.58263101E-07  4.01383262E-07
    890  0.007909 -0.013699 -0.125213        1    8.68482829E-07  4.42441498E-08  2.46952254E-07  9.03994128E-07
    891  0.015818 -0.013699 -0.125213        1    3.50597403E-07  1.24646368E-07  5.56395577E-07  6.69351398E-07
    892  0.023727 -0.013699 -0.125213        1    9.33838060E-07  7.56172475E-07  2.75142689E-07  1.23270184E-06
    893  0.031636 -0.013699 -0.125213        1    2.82827902E-07  1.42266154E-06  2.21050680E-07  1.46724943E-06
    894  0.039545 -0.013699 -0.125213        1    1.04035078E-06  5.91912625E-07  6.82349359E-07  1.37778480E-06
    895  0.047453 -0.013699 -0.125213        1    3.54523249E-07  1.10374060E-06  4.72525631E-08  1.16024259E-06
    896  0.055362 -0.013699 -0.125213        1    1.01153783E-06  3.14498420E-08  3.09318877E-07  1.05824196E-06
    897  0.063271 -0.013699 -0.125213        1    6.22607733E-07  5.93053161E-07  1.22404940E-06  1.49587746E-06
    898  0.071180 -0.013699 -0.125213        1    2.02379289E-07  1.01992962E-07  2.49443220E-07  3.37019080E-07
    899  0.079089 -0.013699 -0.125213        1    7.21673140E-08  1.81301308E-07  6.58686640E-07  6.86983534E-07
    900  0.086998 -0.013699 -0.125213        1    3.80386315E-07  8.17838710E-07  7.16379677E-07  1.15184797E-06
    901 -0.098861 -0.006849 -0.125213        1    7.91553554E-07  3.54370265E-08  4.36528076E-07  9.04637813E-07
    902 -0.090952 -0.006849 -0.125213        1    9.29776841E-08  1.75947200E-06  2.80178395E-07  1.78406460E-06
    903 -0.083044 -0.006849 -0.125213        1    1.21234346E-06  1.70472459E-07  4.66366903E-07  1.31008993E-06
    904 -0.075135 -0.006849 -0.125213        1    3.24361659E-07  5.08775534E-07  1.54528085E-07  6.22849869E-07
    905 -0.067226 -0.006849 -0.125213        1    2.73828626E-07  1.94051673E-08  2.14427588E-07  3.48335854E-07
    906 -0.059317 -0.006849 -0.125213        1    1.75215368E-07  3.09807363E-07  2.54332508E-07  4.37454057E-07
    907 -0.051408 -0.006849 -0.125213        1    1.30366141E-06  2.40998692E-08  1.79204866E-06  2.21620222E-06
    908 -0.043499 -0.006849 -0.125213        1    6.68546262E-07  4.13982881E-07  4.93518945E-07  9.28384015E-07
    909 -0.035590 -0.006849 -0.125213        1    2.20332849E-06  1.65739286E-07  2.77313488E-07  2.22688768E-06
    910 -0.027681 -0.006849 -0.125213        1    6.29891329E-07  7.27676567E-07  4.02627148E-07  1.04325687E-06
    911 -0.019772 -0.006849 -0.125213        1    1.13007873E-07  1.23179232E-06  1.60154635E-07  1.24729011E-06
    912 -0.011863 -0.006849 -0.125213        1    4.85646599E-07  9.04143671E-07  7.95994425E-08  1.02940005E-06
    913 -0.003954 -0.006849 -0.125213        1    3.60305591E-07  1.15956309E-07  7.82711467E-07  8.69426952E-07
    914  0.003954 -0.006849 -0.125213        1    1.21860119E-06  1.12022587E-07  2.88391369E-07  1.25726191E-06
    915  0.011863 -0.006849 -0.125213        1    9.35172024E-07  3.28834062E-07  4.05429516E-07  1.07100497E-06
    916  0.019772 -0.006849 -0.125213        1    5.71539619E-07  3.76909043E-07  2.38456193E-07  7.24968495E-07
    917  0.027681 -0.006849 -0.125213        1    8.49926209E-08  7.82963366E-07  1.18169506E-06  1.42009105E-06
    918  0.035590 -0.006849 -0.125213        1    1.31314847E-07  4.93982803E-07  1.44876059E-07  5.31273631E-07
    919  0.043499 -0.006849 -0.125213        1    2.04968184E-07  3.91902957E-08  3.91405792E-08  2.12320090E-07
    920  0.051408 -0.006849 -0.125213        1    3.73191991E-07  9.15619760E-08  1.48565843E-07  4.11980178E-07
    921  0.059317 -0.006849 -0.125213        1    2.86645882E-07  3.68667868E-07  4.60285538E-07  6.55701636E-07
    922  0.067226 -0.006849 -0.125213        1    1.93791693E-07  1.14394797E-06  3.95049330E-07  1.22565744E-06
    923  0.075135 -0.006849 -0.125213        1    3.20985268E-07  1.66365078E-06  1.50951707E-08  1.69440058E-06
    924  0.083044 -0.006849 -0.125213        1    2.08831662E-07  6.44418706E-08  1.60886226E-07  2.71381273E-07
    925  0.090952 -0.006849 -0.125213        1    4.50227296E-07  3.31928225E-07  3.19688942E-06  3.24545574E-06
    926 -0.094907  0.000000 -0.125213        1    1.14036765E-07  3.67012498E-07  4.49380888E-08  3.86939258E-07
    927 -0.086998  0.000000 -0.125213        1    9.11988205E-08  9.72057153E-07  1.37013796E-07  9.85893054E-07
    928 -0.079089  0.000000 -0.125213        1    8.45645390E-07  1.17589014E-07  2.72840650E-06  2.85887134E-06
    929 -0.071180  0.000000 -0.125213        1    9.31720889E-07  1.59637850E-06  2.30592976E-06  2.95530712E-06
    930 -0.063271  0.000000 -0.125213        1    5.34382409E-07  1.41248995E-07  9.47439943E-08  5.60796096E-07
    931 -0.055362  0.000000 -0.125213        1    5.54968176E-07  4.40733742E-07  5.64634937E-07  9.06117277E-07
    932 -0.047453  0.000000 -0.125213        1    3.22035826E-07  6.14293197E-07  3.21876601E-07  7.64635698E-07
    933 -0.039545  0.000000 -0.125213        1    4.74466312E-07  1.55568297E-07  7.18743093E-07  8.75163648E-07
    934 -0.031636  0.000000 -0.125213        1    4.74759844E-07  1.43249893E-06  8.75589008E-07  1.74473672E-06
    935 -0.023727  0.000000 -0.125213        1    2.11532823E-07  9.31931854E-07  3.40904077E-07  1.01462245E-06
    936 -0.015818  0.000000 -0.125213        1    1.01659362E-07  9.82304248E-07  3.88242075E-07  1.06112590E-06
    937 -0.007909  0.000000 -0.125213        1    5.57976394E-07  1.35370651E-06  5.25649011E-07  1.55568823E-06
    938  0.000000  0.000000 -0.125213        1    4.86218768E-07  2.39788699E-08  2.45359788E-07  5.45146863E-07
    939  0.007909  0.000000 -0.125213        1    4.22514390E-07  2.81600088E-07  4.71246034E-07  6.92740820E-07
    940  0.015818  0.000000 -0.125213        1    3.34851337E-07  1.20231946E-08  1.48747398E-09  3.35070422E-07
    941  0.023727  0.000000 -0.125213        1    3.02927823E-07  1.01285948E-06  2.18839024E-08  1.05741596E-06
    942  0.031636  0.000000 -0.125213        1    3.09856241E-07  9.10626756E-07  7.90507733E-07  1.24505199E-06
    943  0.039545  0.000000 -0.125213        1    1.73579171E-07  1.59421287E-08  2.83292975E-07  3.32624097E-07
    944  0.047453  0.000000 -0.125213        1    4.60762654E-07  8.37551552E-07  1.34935003E-06  1.65364456E-06
    945  0.055362  0.000000 -0.125213        1    8.46570981E-07  4.01803055E-07  2.73124931E-07  9.76076508E-07
    946  0.063271  0.000000 -0.125213        1    5.58020842E-07  4.22309989E-07  2.70400055E-07  7.50232748E-07
    947  0.071180  0.000000 -0.125213        1    3.87562973E-07  5.69403702E-07  4.86072562E-07  8.43025604E-07
    948  0.079089  0.000000 -0.125213        1    1.99313570E-07  1.30079700E-06  1.66259386E-07  1.32643918E-06
    949  0.086998  0.000000 -0.125213        1    1.58463821E-07  1.11376737E-06  8.88140429E-08  1.12848415E-06
    950  0.094907  0.000000 -0.125213        1    9.25684670E-07  4.69799074E-07  5.58586711E-07  1.17882246E-06
    951 -0.090952  0.006849 -0.125213        1    9.23159221E-07  7.01882703E-07  4.92319204E-07  1.25985732E-06
    952 -0.083044  0.006849 -0.125213        1    5.40613611E-08  5.69017979E-07  4.00115567E-08  5.72979071E-07
    953 -0.075135  0.006849 -0.125213        1    1.14745894E-07  1.58688144E-07  1.08632866E-06  1.10383808E-06
    954 -0.067226  0.006849 -0.125213        1    3.11413900E-07  4.24437472E-07  2.72334494E-07  5.92698795E-07
    955 -0.059317  0.006849 -0.125213        1    3.87096606E-09  8.32800799E-08  3.10401175E-07  3.21402311E-07
    956 -0.051408  0.006849 -0.125213        1    1.45654218E-06  1.24136304E-07  5.31522133E-07  1.55545515E-06
    957 -0.043499  0.006849 -0.125213        1    1.03084602E-06  3.32843473E-07  9.82486483E-07  1.46243222E-06
    958 -0.035590  0.006849 -0.125213        1    2.10375298E-07  7.43970448E-07  4.07223847E-07  8.73831251E-07
    959 -0.027681  0.006849 -0.125213        1    6.39217013E-07  5.76378029E-07  3.50655235E-07  9.29391799E-07
    960 -0.019772  0.006849 -0.125213        1    1.83142704E-06  7.11710884E-07  1.14028755E-07  1.96816156E-06
    961 -0.011863  0.006849 -0.125213        1    7.22969339E-08  3.42085710E-08  9.65715812E-07  9.69022240E-07
    962 -0.003954  0.006849 -0.125213        1    1.76364730E-06  6.76264528E-07  1.10160848E-06  2.18662451E-06
    963  0.003954  0.006849 -0.125213        1    5.34803765E-08  2.61360628E-07  1.24914828E-08  2.67068466E-07
    964  0.011863  0.006849 -0.125213        1    6.61333113E-08  4.18856002E-07  2.28209714E-07  4.81553360E-07
    965  0.019772  0.006849 -0.125213        1    2.58707245E-07  6.36687125E-07  3.52386753E-07  7.72318819E-07
    966  0.027681  0.006849 -0.125213        1    3.61278347E-08  1.40640808E-07  9.36558275E-07  9.47748100E-07
    967  0.035590  0.006849 -0.125213        1    5.75739516E-08  5.96782887E-07  1.59827702E-07  6.20491313E-07
    968  0.043499  0.006849 -0.125213        1    1.88171678E-07  2.71373144E-07  1.60606798E-07  3.67214525E-07
    969  0.051408  0.006849 -0.125213        1    6.14302591E-07  3.40522402E-07  4.77824660E-07  8.49493723E-07
    970  0.059317  0.006849 -0.125213        1    7.99757738E-07  1.72178665E-06  4.93275501E-07  1.96150005E-06
    971  0.067226  0.006849 -0.125213        1    1.64657102E-07  2.01019973E-06  1.95559242E-08  2.01702686E-06
    972  0.075135  0.006849 -0.125213        1    8.62198245E-07  4.75283178E-08  5.67206805E-08  8.65368124E-07
    973  0.083044  0.006849 -0.125213        1    1.70213352E-07  4.40164745E-07  1.55382865E-07  4.96851509E-07
    974  0.090952  0.006849 -0.125213        1    2.27797654E-06  1.29648680E-07  8.77542113E-08  2.28334989E-06
    975  0.098861  0.006849 -0.125213        1    6.92205455E-07  7.18046166E-07  9.96670098E-07  1.40999644E-06
    976 -0.086998  0.013699 -0.125213        1    5.00747774E-07  1.96522106E-08  1.01983505E-06  1.13630897E-06
    977 -0.079089  0.013699 -0.125213        1    1.06636137E-07  1.90299241E-07  9.54369258E-08  2.38103494E-07
    978 -0.071180  0.013699 -0.125213        1    4.52209069E-07  6.22604075E-07  8.10333191E-07  1.11748322E-06
    979 -0.063271  0.013699 -0.125213        1    8.64641285E-08  7.19321707E-08  1.07048626E-06  1.07637871E-06
    980 -0.055362  0.013699 -0.125213        1    8.98054725E-08  2.17552061E-08  5.30148612E-07  5.38141117E-07
    981 -0.047453  0.013699 -0.125213        1    2.50994328E-07  2.42572672E-08  1.44274029E-07  2.90519471E-07
    982 -0.039545  0.013699 -0.125213        1    9.63177516E-07  1.28906341E-07  5.68466721E-07  1.12582511E-06
    983 -0.031636  0.013699 -0.125213        1    1.69776591E-06  5.76280741E-08  2.75880793E-07  1.72099979E-06
    984 -0.023727  0.013699 -0.125213        1    1.26337446E-06  3.94926325E-07  1.39938599E-07  1.33103893E-06
    985 -0.015818  0.013699 -0.125213        1    4.26678010E-07  1.67053100E-07  6.61357738E-07  8.04583694E-07
    986 -0.007909  0.013699 -0.125213        1    9.67602116E-08  6.66941770E-07  2.98230354E-07  7.36963505E-07
    987 -0.000000  0.013699 -0.125213        1    4.17567694E-07  9.92465359E-07  1.24982120E-07  1.08396070E-06
    988  0.007909  0.013699 -0.125213        1    4.32839816E-08  8.78240344E-08  1.58068696E-06  1.58371646E-06
    989  0.015818  0.013699 -0.125213        1    3.27921326E-07  2.65736221E-07  2.18208371E-07  4.75145270E-07
    990  0.023727  0.013699 -0.125213        1    8.44254148E-07  8.31087012E-07  1.25217719E-07  1.19128089E-06
    991  0.031636  0.013699 -0.125213        1    7.53720936E-08  6.31405009E-07  5.26382942E-07  8.25489091E-07
    992  0.039545  0.013699 -0.125213        1    7.54665483E-07  1.94918080E-07  4.97122332E-07  9.24469395E-07
    993  0.047453  0.013699 -0.125213        1    5.43343072E-07  4.22865081E-07  2.36536546E-07  7.28001448E-07
    994  0.055362  0.013699 -0.125213        1    1.21763723E-07  6.02098948E-07  3.07007680E-07  6.86733764E-07
    995  0.063271  0.013699 -0.125213        1    1.06294307E-07  1.89549002E-07  1.27889456E-06  1.29722727E-06
    996  0.071180  0.013699 -0.125213        1    1.63204403E-08  1.55294430E-07  2.14680821E-07  2.65462938E-07
    997  0.079089  0.013699 -0.125213        1    9.70576204E-08  4.77369916E-07  9.97423414E-07  1.11002508E-06
    998  0.086998  0.013699 -0.125213        1    4.95629795E-07  5.45045710E-07  7.57498148E-07  1.05665849E-06
    999  0.094907  0.013699 -0.125213        1    3.26462900E-07  2.62547829E-07  4.03473513E-07  5.81635851E-07
   1000  0.102816  0.013699 -0.125213        1    6.61893838E-07  8.80443417E-07  1.06108467E-07  1.10659074E-06
   1001 -0.083044  0.020548 -0.125213        1    2.94951968E-07  1.48723977E-06  8.61488931E-07  1.74385836E-06
   1002 -0.075135  0.020548 -0.125213        1    2.27461629E-08  4.39909609E-07  6.30050805E-07  7.68766459E-07
   1003 -0.067226  0.020548 -0.125213        1    2.74921793E-08  2.38621080E-08  5.19430745E-08  6.34295129E-08
   1004 -0.059317  0.020548 -0.125213        1    3.82155079E-07  8.50524749E-08  4.73539957E-07  6.14423729E-07
